Cod. Cliente;Loja;Município;UF;Zona
503741;1;BEBEDOURO;SP;SP2212
503753;1;SAO PAULO;SP;SP1115
503769;1;BADY BASSITT;SP;SP2206
503769;2;BADY BASSITT;SP;SP2206
503772;1;SAO JOSE DO RIO PRETO;SP;SP2206
503774;1;SAO JOSE DO RIO PRETO;SP;SP2206
503785;1;PAULINIA;SP;SP2217
503786;1;SAO PAULO;SP;SP1122
503789;1;RIBEIRAO PIRES;SP;SP1118
503796;1;SAO PAULO;SP;SP1101
503800;1;DOLCINOPOLIS;SP;SP2213
503806;3;SAO PAULO;SP;SP1107
503806;1;SAO PAULO;SP;SP1107
503809;1;SAO PAULO;SP;SP1115
503813;1;SAO PAULO;SP;SP1105
503822;3;BOITUVA;SP;SP2214
503822;1;BOITUVA;SP;SP2214
503822;2;BOITUVA;SP;SP2214
503822;4;IPERO;SP;SP2214
503823;1;ORINDIUVA;SP;SP2213
503834;1;SAO PAULO;SP;SP1122
503840;1;SOROCABA;SP;SP2100
503846;1;BORBOREMA;SP;SP2211
503850;1;MARILIA;SP;SP2211
503861;1;SAO PAULO;SP;SP1122
503863;1;SAO PAULO;SP;SP1122
503871;1;NOVA ODESSA;SP;SP2217
503880;1;CABREUVA;SP;SP2214
503890;1;TABOAO DA SERRA;SP;SP1123
503899;2;SAO PAULO;SP;SP1115
503899;1;SAO PAULO;SP;SP1120
503908;1;SAO PAULO;SP;SP1115
503917;1;URUPES;SP;SP2206
503918;1;SAO BERNARDO DO CAMPO;SP;SP1103
503927;1;LUCELIA;SP;SP2209
503967;2;CASTILHO;SP;SP2202
503971;1;SAO PAULO;SP;SP1115
503980;1;ITARARE;SP;SP2215
503987;1;CARAGUATATUBA;SP;SP2219
503989;1;EMBU DAS ARTES;SP;SP1123
503992;1;SANTA BARBARA D'OESTE;SP;SP2217
503996;1;SAO PAULO;SP;SP1115
504015;1;SAO PAULO;SP;SP1115
504019;1;SANTO ANASTACIO;SP;SP2209
504021;1;SALTINHO;SP;SP2217
504028;1;JUQUITIBA;SP;SP1123
504050;1;CARAPICUIBA;SP;SP1108
504058;1;SAO PAULO;SP;SP1101
504061;1;AMERICANA;SP;SP2210
504065;1;RIBEIRAO DO SUL;SP;SP2211
504087;1;BIRIGUI;SP;SP2202
504093;1;PIRASSUNUNGA;SP;SP2208
504097;1;SAO PAULO;SP;SP1115
504106;1;SAO PAULO;SP;SP1107
504109;1;SAO PAULO;SP;1101SP
504113;1;MAUA;SP;SP1106
504118;1;CARAGUATATUBA;SP;SP2219
504121;1;RIO GRANDE DA SERRA;SP;SP1118
504123;1;AMERICANA;SP;SP2210
504125;1;MURUTINGA DO SUL;SP;SP2202
504133;1;SAO PAULO;SP;SP1119
504139;1;SAO PAULO;SP;SP1107
504141;1;TAUBATE;SP;2100SP
504141;1;TAUBATE;SP;SP2100
504145;1;CAJURU;SP;SP2212
504146;1;SAO PAULO;SP;SP1112
504153;1;VOTORANTIM;SP;SP2204
504156;1;QUATA;SP;SP2209
504159;1;BOFETE;SP;SP2217
504164;1;SAO PAULO;SP;SP1115
